Year,Title,Subject,Actor,Actress,Director
1985,"Santa Claus, The Movie",Comedy,"Moore, Dudley",,"Szwarc, Jeannot"
1938,Boys Town,Drama,"Tracy, Spencer",,"Taurog, Norman"
1990,"Erasure, Live Wild!",Music,,,"Taylor, Gavin"
1982,A Question of Honor,Drama,"Gazzara, Ben",,"Taylor, Jud"
1947,Check Your Guns,Western,"Dean, Eddie",,"Taylor, Ray"
1947,West to Glory,Western,"Dean, Eddie",,"Taylor, Ray"
1937,"Throwback, The",Western,"Jones, Buck",,"Taylor, Ray"
1992,Border Feud,Action,"LaRue, Lash",,"Taylor, Ray"
1947,"Fighting Vigilantes, The",Western,"LaRue, Lash",,"Taylor, Ray"
1947,Law of the Lash,Western,"LaRue, Lash",,"Taylor, Ray"
1949,Outlaw Country,Western,"LaRue, Lash",,"Taylor, Ray"
1992,Return of the Lash,Action,"LaRue, Lash",,"Taylor, Ray"
1937,Mystery of the Hooded Horsemen,Western,"Ritter, Tex",,"Taylor, Ray"
1937,Tex Rides with the Boy Scouts,Western,"Ritter, Tex",,"Taylor, Ray"
1949,Shadows of the West,Western,"Wilson, Whip",,"Taylor, Ray"
1991,Instant Karma,Comedy,"Cassidy, David",,"Taylor, Roderick"
1957,Time Lock,Drama,"Connery, Sean",,"Thomas, Gerald"
1953,Appointment in Honduras,Drama,"Ford, Glenn",,"Tourneur, Jacques"
1982,Danton,Drama,"Depardieu, Gérard",,"Wajda, Andrzej"
1960,"Alamo, The",Action,"Wayne, John",,"Wayne, John"
1986,"La Chevre, (The Goat)",Drama,"Depardieu, Gérard",,"Veber, Francis"
1985,Les Comperes,Comedy,"Richard, Pierre",,"Veber, Francis"
1990,Dead Poets Society,Drama,"Williams, Robin",,"Weir, Peter"
1952,"Othello, The Lost Masterpiece",Drama,"Welles, Orson",,"Welles, Orson"
1949,"Battleground, The",War,"Johnson, Van",,"Wellman, William"
1976,Kings of the Road (In the Course of Time),Drama,"Vogler, Rudiger",,"Wenders, Wim"
1990,Hiroshima,Drama,"Nelson, Judd",,"Werner, Peter"
1982,"Return of Martin Guerre, The",Drama,"Depardieu, Gérard",,"Vigne, Daniel"
