Year,Title,Subject,Actor,Actress,Director
1963,Bedtime Story,Comedy,"Brando, Marlon","Jones, Shirley","Levy, Ralph"
1991,"Courtship of Eddie's Father, The",Comedy,"Howard, Ron","Jones, Shirley",
1988,"Night Train to Katmandu, THe",Action,"Roberts, Pernell","Jovovich, Milla","Wiemer, Robert"
1948,Port of Call,Drama,"Eklund, Bengt","Jönsson, Nine-Christine","Bergman, Ingmar"
1973,Paper Moon,Comedy,"O'Neal, Ryan","Kahn, Madeline","Bogdanovich, Peter"
1983,Yellowbeard,Comedy,"Chapman, Graham","Kahn, Madeline","Damski, Mel"
1975,Adventures of Sherlock Holmes' Smarter,Comedy,"Wilder, Gene","Kahn, Madeline","Wilder, Gene"
1990,Flashback,Comedy,"Hopper, Dennis","Kane, Carol","Amurri, Franco"
1977,"World's Greatest Lover, The",Comedy,"Wilder, Gene","Kane, Carol","Wilder, Gene"
1955,Killer's Kiss,Mystery,"Silvera, Frank","Kane, Irene","Kubrick, Stanley"
1988,"Deceivers, The",Action,"Brosnan, Pierce","Kapoor, Shashi","Meyer, Nicholas"
1983,Breathless,Action,"Gere, Richard","Kaprisky, Valerie","McBride, Jim"
1989,Born on the Fourth of July,Drama,"Cruise, Tom","Kava, Caroline","Stone, Oliver"
1991,Awakenings,Drama,"De Niro, Robert","Kavner, Julie","Marshall, Penny"
1977,Annie Hall,Comedy,"Allen, Woody","Keaton, Diane","Allen, Woody"
1979,Manhattan,Comedy,"Allen, Woody","Keaton, Diane","Allen, Woody"
1981,Reds,Drama,"Beatty, Warren","Keaton, Diane","Beatty, Warren"
1986,Crimes of the Heart,Comedy,"Shepard, Sam","Keaton, Diane","Beresford, Bruce"
1977,Looking for Mr. Goodbar,Drama,"Atherton, William","Keaton, Diane","Brooks, Richard"
1972,"Godfather, The",Drama,"Brando, Marlon","Keaton, Diane","Coppola, Francis Ford"
1974,"Godfather, Pt 2., The",Drama,"Pacino, Al","Keaton, Diane","Coppola, Francis Ford"
1976,"I Will, I Will...For Now",Comedy,"Gould, Elliott","Keaton, Diane","Panama, Norman"
1972,"Play It Again, Sam",Comedy,"Allen, Woody","Keaton, Diane","Ross, Herbert"
1975,Love & Death,Comedy,"Allen, Woody","Keaton, Diane",
1973,Sleeper,Comedy,"Allen, Woody","Keaton, Diane",
1970,Fellini Satyricon,Drama,"Potter, Martin","Keller, Hiram","Fellini, Federico"
1980,"Formula, The",Mystery,"Scott, George C.","Keller, Marthe","Avildsen, John G."
1977,Black Sunday,Drama,"Shaw, Robert","Keller, Marthe","Frankenheimer, John"
1977,Bobby Deerfield,Drama,"Pacino, Al","Keller, Marthe","Pollack, Sydney"
1972,Last of the Red Hot Lovers,Comedy,"Arkin, Alan","Kellerman, Sally","Saks, Gene"
1953,Mogambo,Action,"Gable, Clark","Kelly, Grace","Ford, John"
1955,To Catch a Thief,Mystery,"Grant, Cary","Kelly, Grace","Hitchcock, Alfred"
1954,Rear Window,Mystery,"Stewart, James","Kelly, Grace","Hitchcock, Alfred"
1945,Woman Who Came Back,Drama,"Kruger, Otto","Kelly, Nancy","Colmes, Walter"
1939,Stanley & Livingstone,Action,"Tracy, Spencer","Kelly, Nancy","King, Henry"
1956,"Bad Seed, The",Horror,"Jones, Henry","Kelly, Nancy","LeRoy, Mervyn"
1989,Lethal Weapon 2,Action,"Gibson, Mel","Kensit, Patsy","Donner, Richard"
1992,Blame It on the Bellboy,Comedy,"Moore, Dudley","Kensit, Patsy","Herman, Mark"
1927,"Drop Kick, The",Drama,"Barthelmess, Richard","Kent, Barbara","Webb, Millard"
1978,"Superman, The Movie",Action,"Brando, Marlon","Kidder, Margot","Donner, Richard"
1987,Superman IV: The Quest for Peace,Action,"Reeve, Christopher","Kidder, Margot","Furie, Sidney J."
1970,Quackser Fortune Has a Cousin in the Bronx,Comedy,"Wilder, Gene","Kidder, Margot","Waris, Hussein"
1989,Dead Calm,Mystery,"Neill, Sam","Kidman, Nicole","Noyce, Phillip"
1990,Days of Thunder,Action,"Cruise, Tom","Kidman, Nicole","Scott, Tony"
1987,My Life As a Dog,Comedy,"Glanzelius, Anton","Kinnaman, Melinda","Hallström, Lasse"
1983,"Moon in the Gutter, The",Action,"Depardieu, Gérard","Kinski, Nastassia","Beineix, Jean-Jacques"
1984,"Paris, Texas",Drama,"Stanton, Harry Dean","Kinski, Nastassia","Wenders, Wim"
1984,Unfaithfully Yours,Comedy,"Moore, Dudley","Kinski, Nastassia","Zieff, Howard"
1987,Bullseye!,Comedy,"Caine, Michael","Kirkland, Sally","Winner, Michael"
1989,Erik the Viking,Action,"Robbins, Tim","Kitt, Eartha","Jones, Terry"
1987,Dragonard,Drama,"Reed, Oliver","Kitt, Eartha","Kikoine, Gerard"
1986,Hard Choices,Drama,"McCleery, Gary","Klenck, Margaret","King, Rick"
1969,"Rain People, The",Drama,"Caan, James","Knight, Shirley","Coppola, Francis Ford"
1984,A Year of the Quiet Sun,Drama,"Wilson, Scott","Komorowska, Maja","Zanussi, Krzystoff"
1935,"Desert Trail, The",Western,"Wayne, John","Kornman, Mary","Collins, Lewis D."
1990,Almost an Angel,Comedy,"Hogan, Paul","Kozlowski, Linda","Cornell, John"
1986,Crocodile Dundee,Comedy,"Hogan, Paul","Kozlowski, Linda","Faiman, Peter"
1977,"American Friend, The",Mystery,"Hopper, Dennis","Kreuzer, Lisa","Wenders, Wim"
1989,See You in the Morning,Drama,"Bridges, Jeff","Krige, Alice","Pakula, Alan J."
1987,"Arrogant, The",Drama,"Graham, Gary","Kristel, Sylvia","Blot, Philippe"
1989,Dracula's Widow,Horror,"Sommer, Josef","Kristel, Sylvia","Coppola, Christopher"
1987,Ninja Masters of Death,Action,"Peterson, Chris","Kruize, Kelly","Lambert, Bruce"
1990,Mystery Train,Comedy,"Nagase, Masatoshi","Kudoh, Youki","Jarmusch, Jim"
1978,Go Tell the Spartans,War,"Lancaster, Burt","Kumagai, Denice","Post, Ted"
1986,True Stories,Comedy,"Goodman, John","Kurtz, Swoosie","Byrne, David"
1953,Ugetsu Monogatari,Drama,"Mori, Masayuki","Kyô, Machiki","Mizoguchi, Kenji"
1969,Rebel Rousers,Action,"Nicholson, Jack","Ladd, Diane","Cohen, Martin B."
1988,Plain Clothes,Comedy,"Howard, Arliss","Ladd, Diane","Coolidge, Martha"
1981,"Whose Life Is It, Anyway?",Drama,"Dreyfuss, Richard","Lahti, Christine","Badham, John"
1988,Running on Empty,Drama,"Hirsch, Judd","Lahti, Christine","Lumet, Sidney"
1990,Funny about Love,Comedy,"Wilder, Gene","Lahti, Christine","Nimoy, Leonard"
1985,"A Chorus Line, The Movie",Music,"Douglas, Michael","Landers, Audrey","Attenborough, Richard"
1986,Stewardess School,Comedy,"Most, Donald","Landers, Judy","Blancato, Ken"
1987,"Big Town, The",Drama,"Dillon, Matt","Lane, Diane","Bolt, Ben"
1983,Rumble Fish,Drama,"Dillon, Matt","Lane, Diane","Coppola, Francis Ford"
1983,"Outsiders, The",Drama,"Howell, C. Thomas","Lane, Diane","Coppola, Francis Ford"
1990,Priceless Beauty,Science Fiction,"Lambert, Christopher","Lane, Diane","Finch, Charles"
1989,Streets of Fire,Action,"Paré, Michael","Lane, Diane","Hill, Walter"
1990,Men Don't Leave,Drama,"Howard, Arliss","Lange, Jessica","Brickman, Paul"
1988,Everybody's All American,Romance,"Quaid, Dennis","Lange, Jessica","Hackford, Taylor"
1992,Cape Fear,Mystery,"De Niro, Robert","Lange, Jessica","Scorsese, Martin"
1992,"Postman Always Rings Twice, The",Mystery,"Nicholson, Jack","Lange, Jessica",
1949,Crashing Thru,Western,"Wilson, Whip","Larson, Christine","Taylor, Ray"
1978,Get Out Your Handkerchiefs,Comedy,"Depardieu, Gérard","Laure, Carole","Blier, Bertrand"
1971,"Boy Friend, THe",Music,"Gable, Christopher","Lawson, Twiggy","Russell, Ken"
1990,Hard To Kill,Action,"Seagal, Steven","LeBrock, Kelly","Malmuth, Bruce"
1960,Psycho,Horror,"Perkins, Anthony","Leigh, Janet","Hitchcock, Alfred"
1957,Jet Pilot,Action,"Wayne, John","Leigh, Janet","Sternberg, Josef von"
1987,Under Cover,Mystery,"Neidorf, David","Leigh, Jennifer Jason","Stockwell, John"
1951,A Streetcar Named Desire,Drama,"Brando, Marlon","Leigh, Vivien","Kazan, Elia"
1986,"Golden Child, The",Comedy,"Murphy, Eddie","Lewis, Charlotte","Ritchie, Michael"
1971,"Statue, The",Drama,"Niven, David","Lisi, Virna","Amateau, Rod"
1985,Christopher Columbus,Drama,"Byrne, Gabriel","Lisi, Virna","Lattuada, Alberto"
1989,In Country,Drama,"Willis, Bruce","Lloyd, Emily","Jewison, Norman"
1978,"Wild Geese, The",Action,"Burton, Richard","Lloyd, Rosalind","McLaglen, Andrew V."
1974,"Second Coming of Suzanne., The",Drama,"Dreyfuss, Richard","Locke, Sondra","Barry, Michael"
1980,Bronco Billy,Westerns,"Eastwood, Clint","Locke, Sondra","Eastwood, Clint"
1977,"Gauntlet, The",Action,"Eastwood, Clint","Locke, Sondra","Eastwood, Clint"
1986,Ratboy,Drama,"Townsend, Robert","Locke, Sondra","Locke, Sondra"
1938,Lady Vanishes,Mystery,"Redgrave, Michael","Lockwood, Margaret","Hitchcock, Alfred"
1987,"Kitchen Toto, THe",Drama,"Peck, Bob","Logan, Phyllis","Hook, Harry"
1959,Carlton-Browne of the F.O.,Comedy,Terry-Thomas,"Lohr, Marie","Boulting, Roy"
1929,Racketeer,Drama,"Armstrong, Robert","Lombard, Carole","Higgin, Howard"
1941,Mr. & Mrs. Smith,Comedy,"Montgomery, Robert","Lombard, Carole","Hitchcock, Alfred"
1986,Alrededor de Medianoche,Drama,Francois Cluzet,Lonette McKee,"Rayfield, David"
1982,Losin' It,Comedy,"Cruise, Tom","Long, Shelley","Hanson, Curtis"
1987,Into the Homeland,Action,"Boothe, Powers","Longstreth, Emily","Glatter, Lesli Linka"
1991,Boxing Babes,Action,"Nichol, Robin","Lords, Traci","Dell, Stewart"
1991,Shock 'em Dead,Horror,"Donahue, Troy","Lords, Traci","Freed, Mark"
1960,Heller in Pink Tights,Drama,"Quinn, Anthony","Loren, Sophia","Cukor, George"
1961,Two Women,Drama,"Belmondo, Jean-Paul","Loren, Sophia","De Sica, Vittorio"
1954,"Gold of Naples, The",Drama,"De Sica, Vittorio","Loren, Sophia","De Sica, Vittorio"
1963,"Yesterday, Today & Tomorrow",Comedy,"Mastroianni, Marcello","Loren, Sophia","De Sica, Vittorio"
1957,Legend of the Lost,Action,"Wayne, John","Loren, Sophia","Hathaway, Henry"
1978,Brass Target,Action,"Cassavetes, John","Loren, Sophia","Hough, John"
1964,"Fall of the Roman Empire, The",Drama,"Boyd, Stphen","Loren, Sophia","Mann, Anthony"
1961,El Cid,Drama,"Heston, Charlton","Loren, Sophia","Mann, Anthony"
1958,Desire under the Elms,Drama,"Perkins, Anthony","Loren, Sophia","Mann, Delbert"
1953,Two Nights with Cleo,Drama,"Sordi, Alberto","Loren, Sophia","Mattoli, Mario"
1959,"Black Orchid, The",Drama,"Quinn, Anthony","Loren, Sophia","Ritt, Martin"
1977,Angela,Drama,"Railsback, Steve","Loren, Sophia","Sagal, Boris"
1977,A Special Day,Drama,"Mastroianni, Marcello","Loren, Sophia","Scola, Ettore"
1979,Blood Feud,Action,"Mastroianni, Marcello","Loren, Sophia","Wertmuller, Lina"
1991,"Sophia Loren, Her Own Story",Drama,"Gavin, John","Loren, Sophia",
1990,Running Away,Drama,"Loggia, Robert","Loren, Sophia",
1991,Man of La Mancha,Music,"O'Toole, Peter","Loren, Sophia",
1992,Operation Crossbow,Action,"Peppard, George","Loren, Sophia",
1986,Courage,Drama,"Williams, Billy Dee","Loren, Sophia",
1986,RAD,Action,"Allen, Bill","Loughlin, Lori","Needham, Hal"
1992,Secret Admirer,Comedy,"Howell, C. Thomas","Loughlin, Lori",
1979,Cocaine Cowboys,Action,"Palance, Jack","Love, Suzanna","Lommel, Ulli"
1991,Test Pilot,Drama,"Gable, Clark","Loy, Myrna",
1943,"Ape Man, The",Horror,"Ford, Wallace","Lugosi, Bela","Beaudine, William"
1986,"Mission, The",Drama,"De Niro, Robert","Lunghi, Cherie","Joffe, Roland"
1991,Curly Sue,Comedy,"Belushi, Jim","Lynch, Kelly","Hughes, John"
1962,Lolita,Drama,"Mason, James","Lyon, Sue","Kubrick, Stanley"
1989,"Sex, Lies, and Videotape",Drama,"Spader, James","MacDowell, Andie","Soderbergh, Steven"
1990,Green Card,Comedy,"Depardieu, Gérard","MacDowell, Andie","Weir, Peter"
1988,Gator Bait II,Action,"Muzzcat, Paul","MacKenzie, Jan","Sebastian, Beverly"
1979,Being There,Comedy,"Sellers, Peter","MacLaine, Shirley","Ashby, Hal"
1983,Terms of Endearment,Drama,"Nicholson, Jack","MacLaine, Shirley","Brooks, James L."
1967,Woman Times Seven,Comedy,"Sellers, Peter","MacLaine, Shirley","De Sica, Vittorio"
1968,"Bliss of Mrs. Blossom, The",Comedy,"Booth, James","MacLaine, Shirley","McGrath, Joseph"
1990,Postcards from the Edge,Comedy,"Quaid, Dennis","MacLaine, Shirley","Nichols, Mike"
1970,Two Mules for Sister Sara,Western,"Eastwood, Clint","MacLaine, Shirley","Siegel, Don"
1992,Dragonfight,Drama,"Z'Dar, Robert","MacLaren, Fawna",
1939,Back Door to Heaven,Drama,"Ford, Wallace","MacMahon, Aline","Howard, William K."
1988,"Ciao Italia, Madonna Live from Italy",Music,,Madonna,"De Winter, Harry"
1991,"Madonna, Truth or Dare",Music,,Madonna,"Keshishian, Alek"
1992,A Certain Sacrifice,Music,"Pattnosh, Jeremy",Madonna,"Lewicki, Steven Jon"
1991,"National Enquirer, The Untold Story",Music,"White, Vanna",Madonna,
1990,"Immaculate Collection, The",Music,,Madonna,
1987,"Madonna Live, The Virgin Tour",Music,,Madonna,
1990,"Madonna, Justify My Love",Music,,Madonna,
1991,"Madonna, Like a Virgin",Music,,Madonna,
1988,Hot to Trot,Comedy,"Goldthwait, Bob","Madsen, Virginia","Dinner, Michael"
1986,Fire with Fire,Drama,"Sheffer, Craig","Madsen, Virginia","Gibbins, Duncan"
1990,Hot Spot,Drama,"Johnson, Don","Madsen, Virginia","Hopper, Dennis"
1974,Amarcord,Drama,"Noel, Magali","Maggio, Pupella","Fellini, Federico"
1988,Casablanca Express,Action,"Connery, Jason","Maneri, Luisa","Martino, Sergio"
1980,Out of the Blue,Drama,"Hopper, Dennis","Manz, Linda","Hopper, Dennis"
1949,Sands of Iwo Jima,War,"Wayne, John","Mara, Adele","Dwan, Allan"
1981,"Hand, The",Horror,"Caine, Michael","Marcovicci, Andrea","Stone, Oliver"
1989,Deep Cover,Mystery,"Conti, Tom","Markham, Kika","Loncraine, Richard"
1955,Il Bidone,Drama,"Crawford, Broderick","Masina, Guilietta","Fellini, Federico"
1986,El Guerrero Solitario,Drama,"Eastwood, Clint","Mason, Marsha","Eastwood, Clint"
1986,Heartbreak Ridge,War,"Eastwood, Clint","Mason, Marsha","Eastwood, Clint"
1977,"Goodbye Girl, The",Comedy,"Dreyfuss, Richard","Mason, Marsha","Ross, Herbert"
1991,Audrey Rose,Drama,"Hopkins, Anthony","Mason, Marsha",
1981,Polyester,Comedy,Divine,"Massey, Edith",
1991,Robin Hood: Prince of Thieves,Action,"Costner, Kevin","Mastrantonio, Mary Elizabeth","Costner, Kevin"
1992,White Sands,Drama,"Dafoe, Willem","Mastrantonio, Mary Elizabeth","Donaldson, Roger"
1986,"Color of Money, The",Drama,"Newman, Paul","Mastrantonio, Mary Elizabeth","Scorsese, Martin"
1986,Children of a Lesser God,Drama,"Hurt, William","Matlin, Marlee","Haines, Randa"
1986,Matador,Comedy,"Banderas, Antonio","Maura, Carmen","Almodóvar, Pedro"
1989,Women on the Verge of a Nervous Breakdown,Comedy,"Banderas, Antonio","Maura, Carmen","Almodóvar, Pedro"
1980,Pepi Luci Bom,Comedy,"Rotaeta, Félix","Maura, Carmen","Almodóvar, Pedro"
1989,"Forgotten, The",Mystery,"Carradine, Keith","Maynard, Mimi","Keach, James"
1992,"Flame & the Arrow, The",Action,"Lancaster, Burt","Mayo, Virginia",
1990,After the Shock,Drama,"Kotto, Yaphet","McClanahan, Rue","Sherman, Gary"
1990,Modern Love,Comedy,"Benson, Robby","McClanahan, Rue",
1992,Riff Raff,Comedy,"Carlyle, Robert","McCourt, Emer","Loach, Ken"
1967,"Glory Stompers, The",Action,"Hopper, Dennis","McCrea, Jody","Lanza, Anthony M."
1990,Dances with Wolves,Western,"Costner, Kevin","McDonnell, Mary","Costner, Kevin"
1987,Matewan,Drama,"Jones, James Earl","McDonnell, Mary","Sayles, John"
1988,Mississippi Burning,Drama,"Hackman, Gene","McDormand, Frances","Parker, Alan"
1975,"Eiger Sanction, The",Action,"Eastwood, Clint","McGee, Vonetta","Eastwood, Clint"
1988,Unsettled Land,Drama,"Shea, John","McGillis, Kelly","Barbash, Uri"
1991,Cat Chaser,Drama,"Weller, Peter","McGillis, Kelly","Ferrera, Abel"
1988,"Accused, The",Drama,"Coulson, Bernie","McGillis, Kelly","Kaplan, Jonathan"
1989,Winter People,Drama,"Russell, Kurt","McGillis, Kelly","Kotcheff, Ted"
1983,"Reuben, Reuben",Comedy,"Conti, Tom","McGillis, Kelly","Miller, Robert Ellis"
1987,Made in Heaven,Fantasy,"Hutton, Timothy","McGillis, Kelly","Rudolph, Alan"
1986,Top Gun,Action,"Cruise, Tom","McGillis, Kelly","Scott, Tony"
1985,Witness,Drama,"Ford, Harrison","McGillis, Kelly","Weir, Peter"
1988,"House on Carroll Street, The",Mystery,"Daniels, Jeff","McGillis, Kelly",
1984,Racing with the Moon,Drama,"Penn, Sean","McGovern, Elizabeth","Benjamin, Richard"
1983,Lovesick,Comedy,"Moore, Dudley","McGovern, Elizabeth","Brickman, Marshall"
1988,She's Having a Baby,Comedy,"Hughes, Kevin Bacon","McGovern, Elizabeth",
1965,"Greatest Story Ever Told, The",Drama,"Sydow, Max von","McGuire, Dorothy","Stevens, George"
1989,Hawks,Drama,"Dalton, Timothy","McTeer, Janet","Miller, Robert Ellis"
1981,So Fine,Comedy,"O'Neal, Ryan","Melato, Mariangela","Bergman, Andrew"
1957,Paths of Glory,Drama,"Douglas, Kirk","Menjou, Adolphe","Kubrick, Stanley"
1964,Tom Jones,Drama,"Ustinov, Peter","Mercouri, Melina","Dassin, Jules"
1975,"Sunshine Boys, The",Comedy,"Burns, George","Meredith, Lee","Ross, Herbert"
1988,Caddyshack 2,Comedy,"Mason, Jackie","Merrill, Dina","Arkush, Allan"
1990,Internal Affairs,Drama,"Gere, Richard","Metcalf, Laurie","Figgis, Mike"
1991,JFK,Drama,"Costner, Kevin","Metcalf, Laurie","Stone, Oliver"
1991,New Jack City,Action,"Snipes, Wesley",Michael Michele,"Van Peebles, Mario"
1991,Scenes from a Mall,Comedy,"Allen, Woody","Midler, Bette",
1987,Hope & Glory,War,"Hayman, David","Miles, Sarah","Boorman, John"
1970,Ryan's Daughter,Drama,"Mitchum, Robert","Miles, Sarah","Lean, David"
1973,"Man Who Loved Cat Dancing, The",Western,"Reynolds, Burt","Miles, Sarah","Sarafian, Richard C."
1962,"Man Who Shot Liberty Valance, The",Western,"Stewart, James","Miles, Vera","Ford, John"
1989,Dead-Bang,Action,"Johnson, Don","Miller, Penelope Ann","Frankenheimer, John"
1988,Big Top Pee-wee,Comedy,"Reubens, Paul","Miller, Penelope Ann","Kleiser, Randal"
1960,"Time Machine, The",Science Fiction,"Taylor, Rod","Mimieux, Yvette","Pal, George"
1972,Cabaret,Drama,"Grey, Joel","Minnelli, Liza","Fosse, Bob"
1981,Arthur,Comedy,"Moore, Dudley","Minnelli, Liza","Gordon, Steve"
1976,A Matter of Time,Drama,"Boyer, Charles","Minnelli, Liza","Minnelli, Vincente"
1977,"New York, New York",Drama,"De Niro, Robert","Minnelli, Liza","Scorsese, Martin"
1989,"Nightmare on Elm Street, Pt. 5, The Dream Child",Horror,"Englund, Robert","Minter, Kelly Jo","Hopkins, Stephen"
1980,"Fiendish Plot of Dr. Fu Manchu, The",Comedy,"Sellers, Peter","Mirren, Helen","Haggard, Piers"
1991,Four American Composers,Music,"Cage, John","Monk, Meredith","Greenaway, Peter"
1950,"Asphalt Jungle, The",Action,"Hayden, Sterling","Monroe, Marilyn","Huston, John"
1992,Ladies of the Chorus,Music,"Garr, Eddie","Monroe, Marilyn","Karlson, Phil"
1953,How to Marry a Millionaire,Comedy,"Powell, William","Monroe, Marilyn","Negulesco, Jean"
1983,Hollywood Out-Takes & Rare Footage,Comedy,"Bogart, Humphrey","Monroe, Marilyn",
1991,Nothing But Trouble,Comedy,"Candy, John","Moore, Demi","Aykroyd, Dan"
1987,Wisdom,Action,"Estevez, Emilio","Moore, Demi","Estevez, Emilio"
1986,One Crazy Summer,Comedy,"Cusack, John","Moore, Demi","Holland, Savage Steve"
1989,We're No Angels,Comedy,"De Niro, Robert","Moore, Demi","Jordan, Neil"
1984,No Small Affair,Comedy,"Cryer, Jon","Moore, Demi","Schatzberg, Jerry"
1990,Ghost,Science Fiction,"Swayze, Patrick","Moore, Demi","Zucker, Jerry"
1986,About Last Night,Drama,"Lowe, Rob","Moore, Demi","Zwick, Edward"
1982,Six Weeks,Drama,"Moore, Dudley","Moore, Mary Tyler","Bill, Tony"
1948,Return of October,Comedy,"Ford, Glenn","Moore, Terry","Lewis, Joseph H."
1952,"Come Back, Little Sheba",Drama,"Lancaster, Burt","Moore, Terry","Mann, Daniel"
1974,Going Places,Drama,"Depardieu, Gérard","Moreau, Jeanne","Blier, Bertrand"
1970,Monte Walsh,Western,"Marvin, Lee","Moreau, Jeanne","Fraker, William A."
1955,Mr. Arkadin,Drama,"Welles, Orson","Mori, Paola","Welles, Orson"
1988,White of the Eye,Mystery,"Keith, David","Moriarty, Cathy","Cammell, Donald"
1968,"Producers, The",Comedy,"Wilder, Gene","Mostel, Zero","Brooks, Mel"
1976,"Front, The",Drama,"Allen, Woody","Mostel, Zero","Ritt, Martin"
1987,House of the Rising Sun,Drama,"Annese, Frank","Moyer, Tawny","Gold, Greg"
1988,In a Shallow Grave,Drama,"Biehn, Michael","Mueller, Maureen","Bowser, Kenneth"
1974,Mc Q,Action,"Wayne, John","Muldaur, Diana","Sturges, John"
1941,Lady from Louisiana,Drama,"Wayne, John","Munson, Ona","Vorhaus, Bernard"
1990,Wait Until Spring Bandini,Drama,"Mantegna, Joe","Muti, Ornella","Deruddere, Dominique"
1940,"Long Voyage Home, The",Drama,"Wayne, John","Natwick, Mildred","Ford, John"
1955,"Trouble with Harry, The",Mystery,"Forsythe, John","Natwick, Mildred","Hitchcock, Alfred"
1987,Encounters,Drama,"Von Bergan, Raven","Navarro, Monica","Marder, Bruce"
1963,Hud,Drama,"Newman, Paul","Neal, Patricia","Ritt, Martin"
1951,Operation Pacific,War,"Wayne, John","Neal, Patricia",
1987,Surf Nazis Must Die,Horror,"Brenner, Barry","Neely, Gail","George, Peter"
1956,Teahouse of the August Moon,Drama,"Brando, Marlon","Negami, Jun","Mann, Daniel"
1992,Back in the U.S.S.R.,Action,"Whaley, Frank","Negoda, Natalya",
1970,"Man Who Haunted Himself, The",Drama,"Moore, Roger","Neil, Hildegard","Dearden, Basil"
1991,Prisoner of Honor.,Drama,"Dreyfuss, Richard","Neilson, Catherine","Russell, Ken"
1988,Control,Drama,"Lancaster, Burt","Nelligan, Kate",
1923,Desert Rider,Western,"Hoxie, Jack","Nelson, Evelyn","Bradbury, Robert N."
1980,Wholly Moses!,Comedy,"Moore, Dudley","Newman, Laraine","Weis, Gary"
1991,Star Trek VI: The Undiscovered Country,Science Fiction,"Shatner, William","Nichols, Nichelle","Meyer, Nicholas"
1989,Star Trek V: The Final Frontier,Action,"Shatner, William","Nichols, Nichelle","Shatner, William "
1991,Circuitry Man,Action,"Metzler, Jim","Nicholson, Dana W.","Lovy, Steven"
1986,Cobra,Action,"Stallone, Sylvester","Nielsen, Brigitte","Cosmatos, George P."
1987,Beverly Hills Cop II,Comedy,"Murphy, Eddie","Nielsen, Brigitte","Scott, Tony"
1990,Red Sonja,Action,"Schwarzenegger, Arnold","Nielsen, Brigitte",
1950,To Joy,Drama,"Olin, Stig","Nilsson, Maj-Britt","Bergman, Ingmar"
1992,Macbeth,Drama,"Welles, Orson","Nolan, Jeanette",
1958,Vertigo,Drama,"Stewart, James","Novak, Kim","Hitchcock, Alfred"
1987,Young Love: Lemon Popsicle Seven,Comedy,"Katzur, Yftach","Noy, Zachi","Bennett, Walter"
1946,Crack-Up,Mystery,"Marshall, Herbert","O'Brien, Pat","Reis, Irving"
1941,Bury Me Not on the Lone Prairie,Western,"Brown, Johnny Mack","O'Day, Nell","Taylor, Ray"
1940,Law & Order,Western,"Brown, Johnny Mack","O'Day, Nell","Taylor, Ray"
1941,Man from Montana,Western,"Brown, Johnny Mack","O'Day, Nell","Taylor, Ray"
1992,"Long Gray Line, The",Drama,"Power, Tyrone","O'Hara, Maureen","Ford, John"
1950,Rio Grande,Western,"Wayne, John","O'Hara, Maureen","Ford, John"
1957,"Wings of Eagles, The",Drama,"Wayne, John","O'Hara, Maureen","Ford, John"
1939,Jamaica Inn,Drama,"Laughton, Charles","O'Hara, Maureen","Hitchcock, Alfred"
1971,Big Jake,Action,"Wayne, John","O'Hara, Maureen","Sherman, George"
1992,"Quiet Man, The",Drama,"Wayne, John","O'Hara, Maureen",
1983,After the Rehearsal,Drama,"Josephson, Erland","Olin, Lena","Bergman, Ingmar"
1952,Big Jim McLain,Western,"Wayne, John","Olson, Nancy","Ludwig, Edward"
1969,Smith!,Western,"Ford, Glenn","Olson, Nancy","O'Herlihy, Michael"
1953,"Wild One, The",Drama,"Brando, Marlon","O'Malley, Pat","Benedek, Laslo"
1929,"Manxman, The",Drama,"Brisson, Carl","Ondra, Anny","Hitchcock, Alfred"
1978,International Velvet,Drama,"Hopkins, Anthony","O'Neal, Tatum","Forbes, Bryan"
1981,Scanners,Horror,"Lack, Stephen","O'Neill, Jennifer","Cronenberg, David"
1986,Trick or Treat,Horror,"Price, Marc","Orgolini, Lisa","Smith, Charles Martin"
1982,48 Hrs.,Action,"Nolte, Nick","O'Toole, Annette","Hill, Walter"
1985,"Trip to Bountiful, The",Drama,"Heard, John","Page, Geraldine","Masterson, Peter"
1955,Mister Roberts,Comedy,"Fonda, Henry","Palmer, Betsy","Ford, John"
1969,Z,Drama,"Montand, Yves","Papas, Irene",Costa-Gavras
1987,Maurice,Drama,"Wilby, James","Parfitt, Judy","Ivory, James"
1969,Hamlet,Drama,"Williamson, Nicol","Parfitt, Judy","Richardson, Tony"
1991,La Femme Nikita,Drama,"Karyo, Tcheky","Parillaud, Anne","Besson, Luc"
1993,Honeymoon in Vegas,Comedy,"Caan, James","Parker, Sarah Jessica","Bergman, Andrew"
1988,Going for the Gold,Action,"Edwards, Anthony","Parker, Sarah Jessica","Taylor, Dan"
1976,Shout at the Devil,Action,"Marvin, Lee","Parkins, Barbara","Hunt, Peter R."
1986,A Smoky Mountain Christmas,Music,"Majors, Lee","Parton, Dolly","Winkler, Henry"
1984,Getting Physical,Drama,"Naughton, David","Paul, Alexandra","Stern, Steven Hilliard"
1990,Torn Apart,Drama,"Pasdar, Adrian","Peck, Cecilia","Fisher, Jack"
1986,From the Hip,Comedy,"Nelson, Judd","Perkins, Elizabeth","Clark, Bob"
1984,"Ratings Game, The",Comedy,"DeVito, Danny","Perlman, Rhea","DeVito, Danny"
1992,Class Act,Drama,"Reid, Christopher","Perlman, Rhea",
1986,Water,Comedy,"Caine, Michael","Perrine, Valerie","Clement, Dick"
1978,Silent Movie,Comedy,"Brooks, Mel","Peters, Bernadette","Brooks, Mel"
